"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P1_001N"," !!Total:"
"P1_001NA","Annotation of  !!Total:"
"P1_002N"," !!Total:!!Population of one race:"
"P1_002NA","Annotation of  !!Total:!!Population of one race:"
"P1_003N"," !!Total:!!Population of one race:!!White alone"
"P1_003NA","Annotation of  !!Total:!!Population of one race:!!White alone"
"P1_004N"," !!Total:!!Population of one race:!!Black or African American alone"
"P1_004NA","Annotation of  !!Total:!!Population of one race:!!Black or African American alone"
"P1_005N"," !!Total:!!Population of one race:!!American Indian and Alaska Native alone"
"P1_005NA","Annotation of  !!Total:!!Population of one race:!!American Indian and Alaska Native alone"
"P1_006N"," !!Total:!!Population of one race:!!Asian alone"
"P1_006NA","Annotation of  !!Total:!!Population of one race:!!Asian alone"
"P1_007N"," !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P1_007NA","Annotation of  !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P1_008N"," !!Total:!!Population of one race:!!Some Other Race alone"
"P1_008NA","Annotation of  !!Total:!!Population of one race:!!Some Other Race alone"
"P1_009N"," !!Total:!!Population of two or more races:"
"P1_009NA","Annotation of  !!Total:!!Population of two or more races:"
"P1_010N"," !!Total:!!Population of two or more races:!!Population of two races:"
"P1_010NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:"
"P1_011N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P1_011NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P1_012N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P1_012NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P1_013N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P1_013NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P1_014N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P1_014NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P1_015N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P1_015NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P1_016N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P1_016NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P1_017N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P1_017NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P1_018N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P1_018NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P1_019N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"
"P1_019NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"
"P1_020N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"
"P1_020NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"
"P1_021N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_021NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_022N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"
"P1_022NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"
"P1_023N"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"
"P1_023NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"
"P1_024N"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"
