GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMPWE001,AMPWE002,AMPWE003,AMPWE004,AMPWE005,AMPWE006,AMPWE007,AMPWE008,AMPWE009,AMPWE010,NAME_M,AMPWM001,AMPWM002,AMPWM003,AMPWM004,AMPWM005,AMPWM006,AMPWM007,AMPWM008,AMPWM009,AMPWM010
"G25000100101001","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010100","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010101001",,,"Block Group 1, Census Tract 101, Barnstable County, Massachusetts",826,795,0,0,31,0,0,0,0,0,"Block Group 1, Census Tract 101, Barnstable County, Massachusetts",190,192,13,13,44,13,13,13,13,13
"G25000100101002","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010100","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010101002",,,"Block Group 2, Census Tract 101, Barnstable County, Massachusetts",460,419,11,0,13,0,0,17,11,6,"Block Group 2, Census Tract 101, Barnstable County, Massachusetts",121,113,19,13,20,13,13,22,19,11
"G25000100101003","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010100","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010101003",,,"Block Group 3, Census Tract 101, Barnstable County, Massachusetts",619,533,29,0,15,0,0,42,0,42,"Block Group 3, Census Tract 101, Barnstable County, Massachusetts",136,121,44,13,16,13,13,39,13,39
"G25000100101004","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010100","4",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010101004",,,"Block Group 4, Census Tract 101, Barnstable County, Massachusetts",487,420,18,0,10,0,0,39,0,39,"Block Group 4, Census Tract 101, Barnstable County, Massachusetts",206,164,24,13,14,13,13,54,13,54
"G25000100101005","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010100","5",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010101005",,,"Block Group 5, Census Tract 101, Barnstable County, Massachusetts",580,472,0,0,0,0,108,0,0,0,"Block Group 5, Census Tract 101, Barnstable County, Massachusetts",159,134,13,13,13,13,157,13,13,13
"G25000100102061","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010206","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010102061",,,"Block Group 1, Census Tract 102.06, Barnstable County, Massachusetts",792,508,12,0,1,0,1,270,0,270,"Block Group 1, Census Tract 102.06, Barnstable County, Massachusetts",371,190,19,13,3,13,3,250,13,250
"G25000100102062","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010206","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010102062",,,"Block Group 2, Census Tract 102.06, Barnstable County, Massachusetts",1692,1437,66,0,20,0,10,159,0,159,"Block Group 2, Census Tract 102.06, Barnstable County, Massachusetts",384,332,74,13,31,13,16,119,13,119
"G25000100102063","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010206","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010102063",,,"Block Group 3, Census Tract 102.06, Barnstable County, Massachusetts",1178,1138,15,0,0,0,25,0,0,0,"Block Group 3, Census Tract 102.06, Barnstable County, Massachusetts",280,272,23,13,13,13,38,13,13,13
"G25000100102081","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010208","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010102081",,,"Block Group 1, Census Tract 102.08, Barnstable County, Massachusetts",442,442,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 102.08, Barnstable County, Massachusetts",227,227,13,13,13,13,13,13,13,13
"G25000100102082","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010208","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010102082",,,"Block Group 2, Census Tract 102.08, Barnstable County, Massachusetts",290,290,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 102.08, Barnstable County, Massachusetts",201,201,13,13,13,13,13,13,13,13
"G25000100102083","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010208","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010102083",,,"Block Group 3, Census Tract 102.08, Barnstable County, Massachusetts",344,304,38,0,0,0,1,1,0,1,"Block Group 3, Census Tract 102.08, Barnstable County, Massachusetts",178,151,64,13,13,13,2,2,13,2
"G25000100103041","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010304","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010103041",,,"Block Group 1, Census Tract 103.04, Barnstable County, Massachusetts",1249,1176,19,0,54,0,0,0,0,0,"Block Group 1, Census Tract 103.04, Barnstable County, Massachusetts",263,246,29,13,52,13,13,13,13,13
"G25000100103042","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010304","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010103042",,,"Block Group 2, Census Tract 103.04, Barnstable County, Massachusetts",548,528,0,0,20,0,0,0,0,0,"Block Group 2, Census Tract 103.04, Barnstable County, Massachusetts",167,163,13,13,23,13,13,13,13,13
"G25000100103043","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010304","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010103043",,,"Block Group 3, Census Tract 103.04, Barnstable County, Massachusetts",698,615,0,0,67,0,0,16,0,16,"Block Group 3, Census Tract 103.04, Barnstable County, Massachusetts",247,238,13,13,99,13,13,20,13,20
"G25000100103061","2016-2020","MA",,,"Massachusetts","25","Barnstable County","001",,,"010306","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250010103061",,,"Block Group 1, Census Tract 103.06, Barnstable County, Massachusetts",804,779,0,0,0,0,14,11,0,11,"Block Group 1, Census Tract 103.06, Barnstable County, Massachusetts",260,263,13,13,13,13,21,20,13,20
